Id,Text,sentiment
1660664406232166400,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660661766148456449,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660654751095181317,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660649130060836864,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660646855208837121,@indosupporter @Argentina @PSSI Kan promotornya FIFA sebagai kompensasi diubahnya tuan rumah piala Dunia U20 dari Indonesia ke argentina... Ini sepertinya hasil pertemuan presiden FIFA dan Erick Thohir yang sama2 fans berat inter milan.,
1660642878799122432,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660635871815819266,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660635423750881280,@MIRHibim_ @erickthohir Akhirnya Indonesia lolos ke Piala Dunia U20 ?,
1660634914050670592,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660632620982759424,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660632418842480644,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660630507871432706,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660629515931115521,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
